Note Extraction from 1674.mid
----------------------------------------

--- Track 0:  ---

--- Track 1: FLUTE ---
Time: 174720, Note: 91, Velocity: 123
Time: 175488, Note: 82, Velocity: 123
Time: 175488, Note: 86, Velocity: 123
Time: 176256, Note: 82, Velocity: 123
Time: 176256, Note: 87, Velocity: 123
Time: 177024, Note: 80, Velocity: 123
Time: 177024, Note: 87, Velocity: 123
Time: 177792, Note: 82, Velocity: 123
Time: 177792, Note: 87, Velocity: 123
Time: 178560, Note: 82, Velocity: 123
Time: 178560, Note: 87, Velocity: 123
Time: 178944, Note: 82, Velocity: 123
Time: 178944, Note: 87, Velocity: 123
Time: 179136, Note: 91, Velocity: 123
Time: 179136, Note: 91, Velocity: 123
Time: 179328, Note: 91, Velocity: 123
Time: 179328, Note: 91, Velocity: 123
Time: 179520, Note: 91, Velocity: 123
Time: 179520, Note: 91, Velocity: 123
Time: 179712, Note: 87, Velocity: 123
Time: 179712, Note: 87, Velocity: 123
Time: 179904, Note: 82, Velocity: 123
Time: 179904, Note: 82, Velocity: 123
Time: 180096, Note: 82, Velocity: 123
Time: 180096, Note: 82, Velocity: 123
Time: 180288, Note: 82, Velocity: 123
Time: 180288, Note: 82, Velocity: 123
Time: 180480, Note: 79, Velocity: 123
Time: 180480, Note: 79, Velocity: 123
Time: 180672, Note: 75, Velocity: 123
Time: 180672, Note: 75, Velocity: 123
Time: 180864, Note: 75, Velocity: 123
Time: 180864, Note: 75, Velocity: 123
Time: 181056, Note: 75, Velocity: 123
Time: 181056, Note: 75, Velocity: 123
Time: 181248, Note: 70, Velocity: 123
Time: 181248, Note: 70, Velocity: 123
Time: 182208, Note: 91, Velocity: 123
Time: 182208, Note: 91, Velocity: 123
Time: 182400, Note: 91, Velocity: 123
Time: 182400, Note: 91, Velocity: 123
Time: 182592, Note: 91, Velocity: 123
Time: 182592, Note: 91, Velocity: 123
Time: 182784, Note: 87, Velocity: 123
Time: 182784, Note: 87, Velocity: 123
Time: 182976, Note: 82, Velocity: 123
Time: 182976, Note: 82, Velocity: 123
Time: 183168, Note: 82, Velocity: 123
Time: 183168, Note: 82, Velocity: 123
Time: 183360, Note: 82, Velocity: 123
Time: 183360, Note: 82, Velocity: 123
Time: 183552, Note: 79, Velocity: 123
Time: 183552, Note: 79, Velocity: 123
Time: 183744, Note: 75, Velocity: 123
Time: 183744, Note: 75, Velocity: 123
Time: 183936, Note: 75, Velocity: 123
Time: 183936, Note: 75, Velocity: 123
Time: 184128, Note: 75, Velocity: 123
Time: 184128, Note: 75, Velocity: 123
Time: 184320, Note: 70, Velocity: 123
Time: 184320, Note: 70, Velocity: 123
Time: 186048, Note: 82, Velocity: 123
Time: 186048, Note: 82, Velocity: 123
Time: 186240, Note: 82, Velocity: 123
Time: 186240, Note: 82, Velocity: 123
Time: 186432, Note: 82, Velocity: 123
Time: 186432, Note: 82, Velocity: 123
Time: 186624, Note: 82, Velocity: 123
Time: 186624, Note: 82, Velocity: 123
Time: 187584, Note: 77, Velocity: 123
Time: 187584, Note: 86, Velocity: 123
Time: 187776, Note: 77, Velocity: 123
Time: 187776, Note: 86, Velocity: 123
Time: 187968, Note: 77, Velocity: 123
Time: 187968, Note: 86, Velocity: 123
Time: 188160, Note: 79, Velocity: 123
Time: 188160, Note: 87, Velocity: 123
Time: 212160, Note: 86, Velocity: 91
Time: 212160, Note: 86, Velocity: 91
Time: 212352, Note: 86, Velocity: 91
Time: 212352, Note: 86, Velocity: 91
Time: 212544, Note: 84, Velocity: 91
Time: 212544, Note: 84, Velocity: 91
Time: 212736, Note: 82, Velocity: 91
Time: 212736, Note: 82, Velocity: 91
Time: 213504, Note: 81, Velocity: 91
